Название игры;Ресторан;Дата;День недели;Номер пакета;Название команды;Последний раунд;Всего баллов;Место
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Broforce;20;66;1
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Ракета;20;65.5;2
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Последнее место;22;65;3
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;La La Band;21;63;4
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Non Stop;19;62.5;5
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;АлисА в городах;16;60.5;6
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;1?=!;15;60.5;7
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Золотой Состав Виагры;19;60;8
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Отвечает Борис Бурда;15;60;9
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;#развелибазар;12;59.5;10
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;А что уже пора?;17;56.5;11
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Абсолютная власть;16;56.5;12
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Пёс Шрёдингера;15;56;13
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Пантеры Империи;13;56;14
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Капибара у бара;14;55;15
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Банановый милкшейк;15;52.5;16
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Гуси-Победуси;13;51;17
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Одинокая бровь Брежнева;17;50.5;18
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Заметьте, не я это предложил;12;48.5;19
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Подотрешь!;11;48.5;20
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Игристые;9;48.5;21
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Лакричная палочка;15;48;22
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Пицца для ума;9;43.5;23
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Нечего терять;7;38;24
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;по венам баб течет трагедия;6;36.5;25
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Они убили Кенни;7;34;26
[кино и музыка] SPB #40;Хали-Гали;30.07.2020;Чт;1;Типа умные;6;33;27
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;8=Э;22;66;1
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;La La Band;22;63;2
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Non Stop;16;62.5;3
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Ракета;20;62;4
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Остановите свингер-пати;19;62;5
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Broforce;19;61;6
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Золотой Состав Виагры;21;59.5;7
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;АлисА в городах;19;59;8
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Юркие Лисички;20;58.5;9
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Дуже поганый выступ;19;58.5;10
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Отвечает Борис Бурда;15;58.5;11
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;1?=!;17;58;12
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Идеальные незнакомцы;18;57.5;13
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Во всем виноват буй;19;56;14
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Гуси-Победуси;19;55.5;15
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Что? ГДЕ ЕДА?;14;55;16
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Раненые тыквы;15;54.5;17
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Барби-колясочница;13;54;18
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Заметьте, не я это предложил;15;52;19
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Evil potatos;17;47.5;20
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Мамихлапинатапай;15;43.5;21
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Кхе-Кхе;13;43;22
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Carpe Diem;14;42.5;23
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;пруТка с утками;14;41;24
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Каста/Баста;14;39;25
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Сейчас у девчонок спрошу;11;39;26
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Мы пока не придумали;9;36.5;27
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Смурфики;12;34;28
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Пьющая интеллигенция;12;32;29
[кино и музыка] SPB #41;Хали-Гали;13.08.2020;Чт;1;Дряхлые метлы;7;24;30
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Broforce;22;68;1
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;La La Band;20;65.5;2
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Non Stop;22;65;3
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Отвечает Борис Бурда;20;64;4
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Банановый милкшейк;19;64;5
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Кактусик и Ко;23;61.5;6
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Гравицапа;20;61.5;7
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;1?=!;22;61;8
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Идеальные незнакомцы;20;61;9
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Последнее место;19;61;10
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Ракета;20;60;11
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Хороший, плохой, глухой;15;60;12
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Как активировать уголь;17;57;13
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Заметьте, не я это предложил;16;55;14
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Что? ГДЕ ЕДА?;16;54;15
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Абсолютная власть;13;51;16
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Сиси Кхалиси;13;48.5;17
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Юркие Лисички;16;47;18
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Асики;18;44;19
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Магрипахарипулаева;8;39.5;20
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Зона рискованного земледелия;13;39;21
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;ИрКа;11;39;22
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;FatBoySlim;9;36.5;23
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Умные улитки;11;35;24
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Рита Хейворт;7;35;25
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Чем я так плов;12;34.5;26
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Пришли поесть;8;34.5;27
[кино и музыка] SPB #42;Хали-Гали;29.08.2020;Сб;1;Бой с гёрлс;13;34;28
