Название игры;Ресторан;Дата;День недели;Номер пакета;Название команды;Последний раунд;Всего баллов;Место
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Чехов в огне;15;53;1
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Соня молчит;11;51;2
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Во всем виноват Тиндер;8;50;3
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Узники Алкобара;7;48.5;4
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Что? ГДЕ ЕДА?;8;40;5
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Виноохранная зона;7;40;6
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;РазъеBANDA;7;39.5;7
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Ай лав НИИ;9;39;8
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;пиратское отродье;7;39;9
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Пир Духа;6;37.5;10
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Санаторий Сатаны;10;37;11
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Wu-Punk Clan;6;37;12
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Зона рискованного земледелия;3;34.5;13
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Они сражались за проходку;-1;34;14
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Илита;2;29;15
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Верните кудри Агутину;-1;29;16
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Ты - Москва, я - Питер;2;28.5;17
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Sky 1st;6;28;18
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Весеннее обострение;5;28;19
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Биба и Боба;8;27.5;20
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Лунная призма;6;27.5;21
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Алевад;3;25.5;22
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Андердоги на дне;10;25;23
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Пинхед;5;24.5;24
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Играй гармонь;3;24;25
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Алюминиевые огурцы;6;20.5;26
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Меломаны;4;17.5;27
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;ИМПЕРАТРИЦЫ;4;17;28
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Неприличный кабинет;1;16.5;29
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Глухие Диджеи;3;12;30
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Дрозды правления;2;11;31
музыка [шазам] 2010-е SPB #1;Puberty;01.05.2022;Вс;1;Творобушки;2;10;32
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Остановите свингер-пати;20;100;1
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Последнее место;18;97;2
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Дюмасброды;18;94;3
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Broforce;17;94;4
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Ракета;18;93;5
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Музыкальный абьюз;18;92;6
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;1?=!;18;90;7
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Сиси Кхалиси;15;85;8
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Серпентарий;13;85;9
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Not Fast, Just Furious;17;84;10
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Синяя шапочка;14;84;11
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;КХЕ-КХЕ;13;84;12
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Денисова пещера;12;83;13
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Что? ГДЕ ЕДА?;15;82;14
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Должно получиться!;9;81;15
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Белки-летяги;17;79;16
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Коалиция ЛИквидации Терроризмом Обезьяньего Рабства;11;77;17
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Юркие Лисички;14;76;18
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Бусинки!;12;76;19
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Камю ин ё Кант;16;73;20
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Артём, ну ты и фантазёр;12;72;21
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Ай лав НИИ;11;72;22
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Паровозик, который пробует;15;71;23
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Чистота - Чисто Тайд;16;68;24
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Ми 5 Соль 5;8;68;25
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Соски нереалки;13;67;26
[music party] 2000-х SPB #1;Хали-Гали;03.05.2022;Вт;1;Шестнадцатый регион;13;66;27
